system,bibkey,generation,sharing_scope,consistency_model,placement_tier,transport_substrate,compression_fidelity,headline_metric
CacheBlend,cacheblend24,KV compression / sparsity / quantization (compression-fidelity axis),"CR (RAG, non-prefix reuse)",immutable + selective recompute,GPU HBM + DRAM,PCIe,lossy (partial recompute),"2.2–3.3× TTFT cut for RAG, quality preserved"
H2O,h2o23,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (evict non-heavy-hitters),GPU HBM,intra-GPU,lossy,up to 29× throughput; 5–10× smaller cache
Scissorhands,scissorhands23,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (importance persistence),GPU HBM,intra-GPU,lossy,"5× KV compression, near-lossless"
StreamingLLM,streamingllm23,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (attention-sink window),GPU HBM,intra-GPU,lossy,up to 22.2× speedup; 4M-token streaming
Quest,quest24,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (query-aware page select),GPU HBM,intra-GPU,lossy,2.23× self-attn / 7.03× latency reduction
SnapKV,snapkv24,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (prompt-time selection),GPU HBM,intra-GPU,lossy,"3.6× gen speed, 8.2× memory cut"
PyramidKV,pyramidkv24,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (layer-wise budget),GPU HBM,intra-GPU,lossy,12% of KV retains ~full accuracy
PyramidInfer,pyramidinfer24,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (pyramidal retention),GPU HBM,intra-GPU,lossy,"2.2× throughput, >54% KV memory cut"
KIVI,kivi24,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (2-bit quant),GPU HBM,intra-GPU,lossy (2-bit),"2.6× less memory, up to 3.47× throughput"
KVQuant,kvquant24,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (sub-4-bit quant),GPU HBM,intra-GPU,lossy (<4-bit),10M-token context; <0.1 perplexity loss
MiniCache,minicache24,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (cross-layer merge),GPU HBM,intra-GPU,lossy,"up to 5.02× compression w/ 4-bit, near-lossless"
InfiniGen,infinigen24,KV compression / sparsity / quantization (compression-fidelity axis),RL,lossy (speculative KV prefetch),GPU HBM + host DRAM,PCIe,lossy,up to 3× throughput for long context
DroidSpeak,droidspeak24,Cross-model / cross-context / semantic KV sharing (Generation 2),CM (cross-LLM),immutable + selective recompute,GPU HBM + DRAM,RDMA/PCIe,lossy (E-cache recompute),up to 3× prefill speedup across fine-tuned LLMs
SemShareKV,semsharekv25,Cross-model / cross-context / semantic KV sharing (Generation 2),CR (semantically similar),lossy (fuzzy LSH match + RoPE),GPU HBM + DRAM,PCIe,lossy,"up to 6.25× speedup, 42% GPU memory cut"
KVCOMM,kvcomm25,Cross-model / cross-context / semantic KV sharing (Generation 2),CM/CT (multi-agent contexts),eventual (anchor-offset estimate),GPU HBM,RDMA,lossy (offset alignment),>70% reuse; up to 7.8× prefill speedup (5 agents)
KVFlow,kvflow25,Cross-model / cross-context / semantic KV sharing (Generation 2),CR/CT (agent workflows),immutable; agent-step-graph TTL,GPU HBM + DRAM,PCIe,none,workflow-aware prefetch; outperforms LRU prefix cache
Continuum,continuum25,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),CR/CT (multi-turn agents),session; TTL retention,GPU HBM + DRAM,PCIe,none,>8× lower job completion time (TTL vs. evict)
PBKV,pbkv26,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),CR/CT (agent workflows),session; prediction-based,GPU HBM + DRAM + SSD,PCIe,none,90%+ cache hit on agent contexts
DualPath,dualpath26,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),CR (agentic multi-turn),immutable; bandwidth-aware,GPU HBM + DRAM + SSD,PCIe/RDMA,none,>95% hit; storage-I/O-bound regime targeted
ICaRus,icarus26,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),"CM (identical cache, multi-model)",immutable; identical-reuse,GPU HBM + DRAM,RDMA,none,"11.1× lower P95 latency, 3.8× throughput"
PrefillShare,prefillshare26,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),CM (shared prefill module),immutable,GPU HBM,RDMA,none,shared frozen-encoder KV across decoder variants
TokenDance,tokendance26,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),CT (multi-agent collective),eventual; diff-aware deltas,GPU HBM + DRAM,RDMA,lossy (sparse deltas),2.7× more concurrent agents
PolyKV,polykv26,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),CT (multi-agent pool),eventual; asymmetric compress,GPU HBM + DRAM pool,RDMA,lossy,97.7% memory reduction (15 concurrent agents)
ForkKV,forkkv26,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),"CM (multi-LoRA, COW)",COW (copy-on-write fork),GPU HBM + DRAM,RDMA,none,scales multi-LoRA agent serving via COW
KVDrive,kvdrive26,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),CR (multi-tier),immutable; tier-orchestrated,GPU HBM + DRAM + SSD,PCIe/RDMA,none,"holistic GPU/DRAM/SSD placement, long-context"
TraCT,tract25,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),CT (rack-scale shared mem),strong/eventual (CXL coherent),CXL shared memory (rack),CXL,none,6.2× lower P99 latency at rack scale
Prefill-as-a-Service,prfaas26,2025–2026 KV-sharing-as-service point solutions (the brief's 14 systems),CDC (cross-datacenter),eventual; WAN reuse,remote DRAM + WAN,WAN-TCP/RDMA,(optional),cross-DC KVCache reuse for next-gen models
InstCache,instcache24,Reference points: predictive / instruction-level caching,CR (predicted instructions),immutable; predictive,host DRAM,n/a,none,2.3× higher hit rate; up to 50% TPOT cut
